surveyuniqueid;Field;FieldOther;Whatisyourcurrentemploymentstatus;Employment;Gender;YearBorn;PHD10OTHERWISE;AverageRBudget;GovernmentFunds;useofsc;importance;frequence_of_purch;importancePrice;costMostExpensive;Purchase_collab;in_charge_purchase;collaboration_withFirm;price_latest_purchase;functionality_better_thanPrice;aReputation_better_thanPrice;cBrand_better_thanPrice;aReputation_better_thanC_brand;cBrand_better_thanFunctionality;aReputation_better_thanFunctiona;IR_input_from_others;IR_colleagues;IR_technical_conferences;IR_salespersons;IR_written_info;IR_brand;IR_peer_review;IR_previous_use;Ref_peer_reviewed_j;Ref_star_scientist;Ref_high_impact;Ref_industry_coauthor;Ref_firm_coauthor;Ref_in_high_impact_expensiveVSch;IR_colleagues_expensiveVScheap;Patents;ICA_exploration;ICA_firm_creation;ICA_licensing_income;ICA_negotiation_use;ICA_other;ICA_none;sumofpositiveICAS;Papers_published;Impact_factor;@5y_Impact_factor;Publications_HJ;US1EU0;IfindinputfromcolleaguesthatIamcurrentlycollaboratingorhavecolla;Ifindinputfromtechnicalconferencesworkshopsandfairsreliable;Ifindsalespersonsfromthefirmproducingandsellingtheinstrumentreli;Ifindwritteninformationwebsitesbrochuresofthefirmproducingandsel;Ifindthebrandofthefirmproducingandsellingtheinstrumentreliable;Ifindreferencesinpeerreviewedpaperstobereliable;Ifindreferencesinpeerreviewedpapersinhighimpactjournalstoberelia;CompletionStatus;Starttime;Closetime;ResponseDays1beforereminder2after1streminderbefore2nd3after3rdre;Budget_dummy;Age_dummy;Gov_dummy;ICAS_patent;pricemostexp;Response_half;Age_dummy1977;Impact_dummy7;Professor_responsehalf;Assocprofessor_responsehalf;Assistprofessor_responsehalf;Postdoc_responsehalf;PhDstudent_responsehalf;Impact_dummy8;Impact_dummy9;Young_highimpact7;Young_lowimpact7;Young_highlowimpact7;Young_highimpact9;Young_lowimpact9;Young_highlowimpact9
257;1; ;Professor;1;2;1940;0;1;1;1;1;5;2;4;2;3;3;4;1;4;5;4;5;5;3;2;2;2;2;4;2;2;2;3;2;5;5;3;2;0;0;1;0;0;0;0;1;23;9,7;10,6;1;0;2;1;2;2;2;2;1;Complete / Closed;41407,60831;41407,62022;2;0;0;1; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
128;1; ;PhD student;5;1;1984;0;1;3;1;1;3;1;3;1;4;3;1;1;2;3;2;4;4;2;2;2;3;3;3;2;2;2;2;2;3;3;3;2;0;0;0;0;0;0;1;0;3;4,86; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,60996;41407,61331;2;0;0;2; ;1;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
535;2; ;Associate professor;2;1;1968;1;2;1;1;1;4;2;4;1;1;3;4;2;2;4;2;4;2;2;2;3;3;2;2;4;2;4;2;3;5;5;2;2;0;0;0;0;0;1;0;1;5;38,59;38,15;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,61078;41407,61413;2;1;0;1; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
5776;3; ;PhD student;5;2;1981;0;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,61198; ;2;1;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
84;3; ;Other;6;1;1970;1;1;4;1;1;5;3;4;1;4;3;2;2;3;3;2;4;4;2;1;2;3;3;3;2;1;3;5;4;1;1;3;2;0;0;0;0;0;0;1;0;25;9,7;10,6;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,61408;41407,61978;2;0;0;2; ;2;0;0;1; ; ; ; ; ;1;1; ; ; ; ; ; 
280;3; ;Associate professor;2;1;1960;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,6147;41407,61555;2;1;0;1; ; ;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; 
1319;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,61598; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1866;1; ;PhD student;5;2;1982;0;1;1;1;1;5;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,62616; ;2;0;0;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
654;3; ;Post-doc;4;2;1979;1;1;1;1;1;5;2;1;3; ;3;1;1;2;4;2;4;4;2;2;3;4;2;2;2;3;2;2;2;3;2;3;2;0;0;0;0;0;0;1;0;5;4,84;5,4;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,62701;41407,64271;2;0;0;1; ;1;0;1;0; ; ; ;1; ;0;0; ;1;1; ;1;1
76;3; ;Other;6;1;1990;0;1;1;1;2;5;3;3;3; ;3;1;2;2;3;3;3;3;2;2;3;3;4;2;2;3;2;3;3;2;3;2;3;0;0;0;0;0;0;1;0;0; ; ;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,64034;41407,64433;2;0;0;1; ;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
777;3; ;Post-doc;4;1;1980;1;1;4;1;3;4;5;2;3; ;3;1;1;3;4;2;3;4;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;1;0;1;38,59;38,15;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,64854;41407,66069;2;0;0;2; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
25;1; ;PhD student;5;2;1985;0;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,65777;41407,65869;2;0;0;1; ; ;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
531;2; ;Associate professor;2;2;1975;1;1;4;1;1;4;2;3;1;2;3;3;1;2;3;2;4;4;2;1;3;3;2;2;2;1;1;1;2;3;5;1;1;0;0;0;0;0;0;1;0;23;5,33;3,22;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,66108;41407,67136;2;0;0;2; ;1;0;0;0; ;1; ; ; ;0;0; ; ; ; ; ; 
475;3; ;Other;6;1;1961;1;1;1;1;1;4;3;3;1;1;3;3;2;4;4;4;4;4;2;2;1;1;1;4;4;2;4;4;4;4;4;3;1;0;0;1;0;0;0;0;1;0;5,69;5,76;1;0;2;4;3;3;3;2;2;Complete / Closed;41407,67015;41407,67456;2;0;0;1; ;1;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
38;1; ;Other;6;1;1962;0;2;3;1;1;3;3;4;1;2;2;4;2;3;3;3;4;3;3;3;3;4;4;4;3;2;3;3;5;5;5;3;2;0;0;0;0;0;1;0;1;20;5,25;5,86;1;0;1;2;3;3;2;3;2;Complete / Closed;41407,67219;41407,67756;2;1;0;2; ;2;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
219;3; ;PhD student;5;2;1986;0;2;4;1;1;5;1;5;1;4;3;1;1;2;4;2;5;5;2;2;4;3;3;4;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;1;0;2;3,97;3,91;1;0;1;2;3;3;3;2;3;Complete / Closed;41407,70244;41407,70571;2;1;0;2; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
1585;1; ;PhD student;5;1; ;0;3;4;1;1;4;2;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,70422; ;2;1;0;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
778;1; ;Associate professor;2;1; ;1;1;4;1;1;3;2;3;1;2;3;2;4;4;4;2;4;4;3;2;4;4;3;3;4;3;3;3;3;4;5;3;1;0; ; ; ; ; ; ; ;22;7,94;7,43;13;0;1;2;3;3;3;2;2;Complete / Closed;41407,70501;41407,71518;2;0;0;2; ;1;0; ;1; ;1; ; ; ;0;0; ; ; ; ; ; 
2965;3; ;Other;6;1;1967;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,7059; ;2; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
450;3; ;PhD student;5;2;1984;0;1;4;1;1;2;1;2;1;4;3;2;2;2;4;2;4;4;2;2;3;3;3;4;2;1;2;2;2;3;3;2;2;0;0;0;0;0;0;1;0; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,70785;41407,71191;2;0;0;2; ;1;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
3921;1; ;PhD student;5;2;1988;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,70897; ;2; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
791;1; ;Professor;1;1;1971;1;2;1;1;1;4;1;5;2;3;3;2;3;3;3;2;4;2;2;2;3;3;2;4;2;3;2;4;5;5;5;3;2;0;0;1;0;0;0;0;1;19;5,78; ;5;0; ; ; ; ; ; ; ;Complete / Closed;41407,70962;41407,71545;2;1;0;1; ;2;0;0;0;1; ; ; ; ;0;0; ; ; ; ; ; 
91;3; ;Other;6;1;1949;0;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2;2;3;4;4;2;1;Complete / Closed;41407,70985;41407,71084;2;0;0;2; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
430;3; ;Post-doc;4;1;1982;1;2;2;1;1;5;2;3;3; ;1;1;2;1;2;2;4;2;4;2;3;5;4;3;2;1;2;4;2;4;5;1;1;0;0;0;0;0;0;1;0;2;8,27;8,05;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,71006;41407,71561;2;1;0;1; ;1;0;1;1; ; ; ;1; ;1;0;2; ;2; ;1;1
109;2; ;PhD student;5;2;1966;0;1;1;1;1;2;1;2;2;1;3;2;1;1;1;1;2;2;2;2;3;3;2;2;1;1;1;1;1;1;1;3;3;0;0;0;0;0;0;1;0;1;3,81;4,84;1;0;2;2;3;3;3;2;1;Complete / Closed;41407,7107;41407,71624;2;0;0;1; ;1;0;0;0; ; ; ; ;1;0;0; ; ; ; ; ; 
126;7;Geosciences;PhD student;5;1;1987;0;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;4;4;2;2;1;Complete / Closed;41407,71078;41407,71934;2;0;0; ; ; ;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
386;3; ;Associate professor;2;1;1966;1;3;2;1;1;1;3;3;1;2;1;3;1;2;3;2;5;4;1;1;2;3;2;4;3;3;2;5;5;5;5;4;2;0;0;0;0;0;0;1;0;30;3,58;4,28;3;0;2;3;3;2;2;2;2;Complete / Closed;41407,71109;41407,73312;2;1;0;1; ;1;0;0;0; ;1; ; ; ;0;0; ; ; ; ; ; 
765;2; ;Post-doc;4;1;1971;0;3;1;1;1;4;1;4;1;2;3;4;1;1;3;1;5;2;1;1;2;2;2;2;1;3;1;2;2;3;3;1;1;0;0;0;0;0;0;1;0;20;9,7;10,6;4;0; ; ; ; ; ; ; ;Complete / Closed;41407,71116;41407,73042;2;1;0;1; ;2;0;0;1; ; ; ;1; ;1;1; ; ; ; ; ; 
301;1; ;PhD student;5;1;1985;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,71212;41407,71349;2;0;0;1; ; ;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
3855;1; ;Post-doc;4;1;1984;1;1;4;1;1;5;2;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,7122; ;2;0;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
337;1; ;Post-doc;4;1;1981;1;1;4;1;1;4;1;4;1;4;1; ;2;2;3;2;4;4;2;2;3;4;3;3;2;3;2;4;2;2;4;3;1;0;0;0;0;0;0;1;0;4;31,17;36,01;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,71417;41407,71959;2;0;0;2; ;2;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
473;1; ;Post-doc;4;1;1981;1;1;4;1;2;4;2;3;1;2;2;1;2;2;4;2;4;2;2;3;2;4;4;4;3;2;3;3;2;2;3;2;3;0;0;0;0;0;0;1;0;5;38,59;38,15;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,71543;41407,72484;2;0;0;2; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
705;3; ;Post-doc;4;2;1984;1;2;4;1;1;4;2;1;3; ;3;1;3;3;4;2;4;4;3;2;3;3;3;4;3;2;3;3;3;3;3;3;2;0;0;0;0;0;0;1;0;8;3,73;4;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,7161;41407,71966;2;1;0;2; ;1;0;1;0; ; ; ;1; ;0;0; ;1;1; ;1;1
364;1; ;Professor;1;1;1956;1;4;4;1;1;3;1;4;3; ; ;4;2;2;4;2;4;2;2;2;3;4;2;2;3;2;2;4;4;5;5;4;2;1;0;0;1;0;0;0;1;65;22,86;26,44;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,71837;41407,72467;2;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
387;3; ;Post-doc;4;2;1985;1; ;4;1;1;5;1; ;3; ; ; ;3;3;4;2;5;4;2;2;2;3;2;3;3;3;2;5;5;5;5;3;2;0;0;0;0;0;0;1;0;2;31,03;33,587;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,71987;41407,72403;2; ;0;2; ; ;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
295;1; ;Professor;1;2;1966;0;2;2;1;1;3;2;4;3; ;3;4;1;4;5;3;5;5;3;2;2;4;3;3;4;1;4;4;4;5;5;5;5;0;0;0;0;0;0;1;0;24;19,547;18,952;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,72004;41407,72842;2;1;0;1; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
569;1; ;PhD student;5;1;1986;0;1;2;1;2;5;3;4;2;4;2;1;2;4;3;3;4;4;2;1;5;4;2;3;2;1;3;3;3;2;4;3;2;0;0;0;0;0;0;1;0;0; ; ;0;0;2;2;3;2;3;2;1;Complete / Closed;41407,72387;41407,73161;2;0;0;1; ;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
465;3; ;Post-doc;4;2;1984;1;1;3;1;1;4;2;3;2;4;3;3;2;2;2;2;4;4;3;3;3;4;3;3;3;2;3;3;3;4;4;3;2;1;0;1;0;0;0;0;1;21;10,52;10,216;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,72543;41407,73007;2;0;0;2; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
748;1; ;Professor;1;1;1961;1;2;2;1;1;4;2;2;1;2;3;2;2;3;4;2;4;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;0;0;0;0;0;0;1;0;25;32,43;32,18;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,72617;41407,73014;2;1;0;1; ;1;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
288;4; ;Post-doc;4;1;1984;1;1;2;1;2;3;2;3;3; ;1;3;2;3;4;2;5;4;3;3;4;2;2;3;4;2;3;4;3;3;3;3;3;0;0;0;0;0;0;1;0;5;9,7;10,6;2;0;3;3;3;3;4;2;2;Complete / Closed;41407,72935;41407,7327;2;0;0;1; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
256;4; ;Associate professor;2;1;1969;1;2;1;1;1;2;2;4;2;3;3;3;2;2;4;2;5;4;2;2;3;4;2;5;4;3;5;5;5;5;5;3;2;0;0;0;0;0;0;1;0;30;14,89;13,98;1;0;2;3;3;3;3;2;2;Complete / Closed;41407,74012;41429,55306;2;1;0;1; ;2;1;0;1; ;2; ; ; ;1;1; ; ; ; ; ; 
2468;1; ;Post-doc;4;1;1984;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,74097; ;2; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
656;1; ;Post-doc;4;1;1984;1;2;1;1;1;5;2;4;1;4;1;4;1;2;2;3;4;4;3;2;4;4;3;2;3;1;2;2;4;4;2;4;2;0;0;0;0;0;0;1;0;13; ; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,74101;41407,75014;2;1;0;1; ;2;1;1; ; ; ; ;2; ; ; ; ; ; ; ; ; 
208;3; ; ; ;2;1991;0;1;2;1;1;1;1; ;1;4;3; ;2;4;4;2;4;4;1;1;4;4;3;3;3;2;3;2;2;3;3;1;1;0;0;0;0;0;0;1;0;0; ; ;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,74353;41407,7475;2;0;0;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
431;1; ;PhD student;5;1;1985;0;3;4;1;3;4;1;1;3; ;3;1;1;1;2;2;4;4;3;3;3;4;2;3;3;3;1;1;2;2;3;2;2;0;0;0;0;0;0;1;0;0;1,357;1,725;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,74938;41407,75376;2;1;0;2; ;1;1;1;0; ; ; ; ;2;0;0; ;1;1; ;1;1
5424;2; ;Associate professor;2;2;1968;1;2;3;1;1;3;1;3;3; ;3;3;2;4;5;2;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,75067; ;2;1;0;2; ;1; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1136;1; ;PhD student;5;2;1984;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,753; ;2; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
716;1; ;Post-doc;4;1;1978;1;1;4;1;3;5;4;3;1;4;3;3;1;2;4;1;5;5;2;2;3;4;3;4;2;1;2;2;3;5;5;2;2;0;0;0;0;0;0;1;0;5;2,85;2,82;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,75326;41407,76014;2;0;0;2; ;1;1;1;0; ; ; ;2; ;0;0; ;1;1; ;1;1
775;1; ;PhD student;5;1;1986;1;2;4;1;1;1;2;4;1;4;2;4;2;3;4;2;4;5;2;2;2;2;2;2;2;2;4;4;4;4;4;3;3;0;0;0;0;0;0;1;0;10; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,7634;41407,76604;2;1;0;2; ;2;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
119;3; ;PhD student;5;2;1980;0;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,76453;41407,76535;2;0;0;2; ; ;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
4645;1; ;Associate professor;2;1;1954;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,77493; ;2; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
143;1; ;Post-doc;4;1;1979;1;1;1;1;1;3;1;5;3; ;2;5;4;2;2;4;2;2;2;2;3;3;4;3;5;5;5;5;4;5;5;2;3;0;0;0;0;0;0;1;0;13; ; ;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,77503;41407,77882;2;0;0;1; ;2;1;1; ; ; ; ;2; ; ; ; ; ; ; ; ; 
246;1; ;Post-doc;4;1;1975;1;1;4;1;2;5;2;3;3; ;3;1;2;2;4;2;5;4;2;1;2;3;3;3;2;2;3;3;3;3;3;3;2;0;0;0;0;0;0;1;0;10;1,72;1,93;3;0; ; ; ; ; ; ; ;Complete / Closed;41407,77927;41407,78928;2;0;0;2; ;1;1;0;0; ; ; ;2; ;0;0; ; ; ; ; ; 
279;1; ;Assistant professor;3;2;1978;1;2;3;1;1;4;2;2;1;1;3;2;2;2;4;1;5;4;3;3;4;4;2;3;3;2;3;3;3;3;3;1;1;0;0;0;0;0;0;1;0;9;9,7;10,6;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,78029;41407,78334;2;1;0;2; ;1;1;1;1; ; ;2; ; ;1;1;2; ;2;2; ;2
226;3; ;Associate professor;2;1;1958;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41407,78125;41407,78207;2;0;0;2; ; ;1;0; ; ;2; ; ; ; ; ; ; ; ; ; ; 
4070;1; ;PhD student;5;2;1985;0;1;4;1;2;5;3;4;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,78937; ;2;0;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
132;7;biogeochemistry;Post-doc;4;1;1977;1;2;4;1;1;4;2;4;1;4;1;3;1;2;2;3;4;4;1;1;3;2;2;2;1;3;2;2;1;3;3;2;1;0;0;0;0;0;0;1;0;5;2,51;2,78;3;0;1;1;4;4;3;1;2;Complete / Closed;41407,80326;41407,80915;2;1;0;2; ;2;1;1;0; ; ; ;2; ;0;0; ;1;1; ;1;1
335;1; ;PhD student;5;1;1984;0;2;2;1;1;5;2;3;1;4;3;3;2;3;5;2;5;5;1;1;3;4;4;5;2;3;2;3;3;4;4;2;2;0;0;0;0;0;0;1;0;1;3,77;4,53;1;0;1;1;3;3;3;2;2;Complete / Closed;41407,81877;41407,84512;2;1;0;1; ;1;1;1;0; ; ; ; ;2;0;0; ;1;1; ;1;1
204;3; ;Associate professor;2;1;1955;1;1;1;1;1;2;2;3;3; ;2;2;2;4;4;4;5;4;3;2;3;3;4;4;4;2;4;4;4;4;4;5;2;1;0;1;0;0;0;0;1;3;9,82;9,6;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,8262;41407,83017;2;0;0;1; ;1;1;0;1; ;2; ; ; ;1;1; ; ; ; ; ; 
479;1; ;Post-doc;4;1;1983;1;1;4;1;1;5;2;4;1;4;3;2;2;2;4;2;4;4;1;1;4;3;2;3;4;4;4;5;4;5;5;4;2;1;0;0;0;0;1;0;1;10;10,67;10,23;3;0; ; ; ; ; ; ; ;Complete / Closed;41407,82798;41407,83205;2;0;0;2; ;2;1;1;1; ; ; ;2; ;1;1;2; ;2;2; ;2
1530;1; ;Post-doc;4;2;1977;1;1;1;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,8289; ;2;0;0;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
419;2; ;Post-doc;4;1;1982;1;1;4;1;1;4;1;2;2;2;3;1;2;2;2;3;4;4;1;1;2;2;2;2;3;3;2;2;2;4;4;3;1;0;0;0;0;0;0;1;0;6;4,84;5,16;1;0;1;2;3;3;2;2;2;Complete / Closed;41407,8322;41407,83637;2;0;0;2; ;1;1;1;0; ; ; ;2; ;0;0; ;1;1; ;1;1
92;4; ;Professor;1;1;1946;1;4;4;1;1;2;1;4;2;4;3;3;1;4;3;4;4;5;2;1;3;2;2;3;2;4;2;3;3;5;4;3;1;0;0;0;0;0;0;1;0;40;38,59;38,15;15;0;1;3;3;3;2;2;2;Complete / Closed;41407,83552;41407,8453;2;1;0;2; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
554;3; ;Other;6;1;1957;1;1;1;1;3;4;2;2;3; ;3;1;3;3;3;2;4;4;2;2;3;3;3;3;4;3; ; ; ; ; ;3;2;0;0;0;0;0;0;1;0;4;3,13;3,634;1;0;1;2;3;3;2;2;2;Complete / Closed;41407,85088;41407,85597;2;0;0;1; ;1;1;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
251;1; ;Post-doc;4;2;1982;1;2;4;1;1;4;1;1;2;4;3;1;1;3;3;3;4;3;2;2;3;4;3;3;3;1;3;3;3;4;5;3;2;0;0;0;0;0;0;1;0;4;3,82;3,97;1;0; ; ; ; ; ; ; ;Complete / Closed;41407,85179;41407,85678;2;1;0;2; ;1;1;1;0; ; ; ;2; ;0;0; ;1;1; ;1;1
389;1; ;Professor;1;1;1952;1;3;4;1;2;3;2;4;1;3;3;4;2;1;4;1;4;1;1;1;3;4;3;2;4; ;3;2;2;4;4;2;2;0;0;0;0;0;1;0;1;6;4,38;4,38;2;0; ; ; ; ; ; ; ;Complete / Closed;41407,87108;41407,87513;2;1;0;2; ;2;1;0;0;2; ; ; ; ;0;0; ; ; ; ; ; 
497;1; ;PhD student;5;2;1979;0;1;4;1;1;4;1; ; ; ; ; ;2;3;4;2;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;0;0;0;0;0;0;1;0;0; ; ;0;0; ; ; ; ; ; ; ;Complete / Closed;41407,87561;41407,87988;2;0;0;2; ; ;1;1; ; ; ; ; ;2; ; ; ; ; ; ; ; 
2147;1; ;PhD student;5;1;1988;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41407,88178; ;2; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
